"Amazon 出品サービス、フルフィルメント by Amazon (FBA)"
"指定のない場合、単位は円"
"定義："
"売上税徴収額：商品売上、配送料、ギフト包装料として購入者から徴収した売上税"
"販売手数料：カテゴリー成約料と販売手数料が含まれます。"
"トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料"
"その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。"
"日付/時間","決済番号","トランザクションの種類","注文番号","SKU","説明","数量","Amazon 出品サービス","フルフィルメント","市町村","都道府県","郵便番号","税金徴収型","商品売上","商品の売上税","配送料","配送料の税金","ギフト包装手数料","ギフト包装クレジットの税金","Amazonポイントの費用","プロモーション割引額","プロモーション割引の税金","源泉徴収税を伴うマーケットプレイス","手数料","FBA 手数料","トランザクションに関するその他の手数料","その他","合計"
"2025/06/01 1:20:16 JST","12033182173","注文","250-8780356-0672612","QTE06004","森永製菓 おいしいコラーゲンドリンク 125ml 12本 ピーチ味 モリコラ 機能性表示食品 コラーゲンペプチド コラー","1","amazon.jp","Amazon","","京都府","619-020","","3,463","277","0","0","0","0","-37","0","0","0","-407","-465","0","0","2,831"
"2025/06/01 3:52:55 JST","12033182173","注文","249-1068290-8897456","QTE06004","森永製菓 おいしいコラーゲンドリンク 125ml 12本 ピーチ味 モリコラ 機能性表示食品 コラーゲンペプチド コラー","1","amazon.jp","Amazon","","広島県","730-082","","3,463","277","0","0","0","0","-37","0","0","0","-407","-465","0","0","2,831"
"2025/06/01 4:20:40 JST","12033182173","注文","249-0127968-5887018","QTE27001","森永製菓 おいしい青汁 125ml 24本 国産 野菜 果実 青汁 飲料 機能性表示食品 （青汁, 24）","1","amazon.jp","Amazon","","広島県","737-011","","6,111","489","0","0","0","0","-66","0","0","0","-718","-514","0","0","5,302"
"2025/06/01 4:25:11 JST","12033182173","注文","503-0141679-9894223","QTE06001","森永製菓 おいしいコラーゲンドリンク 125ml 24本 ピーチ味 モリコラ 機能性表示食品 コラーゲンペプチド コラー","1","amazon.jp","Amazon","","大阪府","550-001","","6,111","489","0","0","0","0","-66","0","0","0","-718","-514","0","0","5,302"
"2025/06/01 4:48:03 JST","12033182173","注文","250-5116720-5165406","QTE06001","森永製菓 おいしいコラーゲンドリンク 125ml 24本 ピーチ味 モリコラ 機能性表示食品 コラーゲンペプチド コラー","1","amazon.jp","Amazon","","兵庫県","665-087","","6,111","489","0","0","0","0","-66","0","0","0","-718","-514","0","0","5,302"
"2025/06/01 9:31:47 JST","12033182173","注文","249-0352892-5924618","QTE17002","森永製菓 おいしいコラーゲンドリンク 125ml 12本 レモン味 モリコラ 機能性表示食品 コラーゲンペプチド コラー","1","amazon.jp","Amazon","","広島県","737-014","","3,463","277","0","0","0","0","-37","0","0","0","-407","-465","0","0","2,831"
"2025/06/01 9:35:51 JST","12033182173","注文","503-3539257-4070252","QTE06001","森永製菓 おいしいコラーゲンドリンク 125ml 24本 ピーチ味 モリコラ 機能性表示食品 コラーゲンペプチド コラー","1","amazon.jp","Amazon","","秋田県","010-091","","6,111","489","418","42","0","0","-66","-418","-42","0","-718","-514","0","0","5,302"
"2025/06/01 10:29:50 JST","12033182173","注文","250-7292890-0229407","QTE27001","森永製菓 おいしい青汁 125ml 24本 国産 野菜 果実 青汁 飲料 機能性表示食品 （青汁, 24）","1","amazon.jp","Amazon","","愛知県","444-082","","6,111","489","0","0","0","0","-66","0","0","0","-718","-514","0","0","5,302"
"2025/06/01 11:12:51 JST","12033182173","注文","249-1441293-2517468","QTE17001","森永製菓 おいしいコラーゲンドリンク 125ml 24本 レモン味 モリコラ 機能性表示食品 コラーゲンペプチド コラー","1","amazon.jp","Amazon","","千葉県","273-012","","6,111","489","0","0","0","0","-66","0","0","0","-718","-514","0","0","5,302"
"2025/06/01 12:13:13 JST","12033182173","注文","503-3857048-6175822","QTE17001","森永製菓 おいしいコラーゲンドリンク 125ml 24本 レモン味 モリコラ 機能性表示食品 コラーゲンペプチド コラー","1","amazon.jp","Amazon","","兵庫県","666-015","","6,111","489","0","0","0","0","-66","0","0","0","-718","-514","0","0","5,302"
"2025/06/01 13:32:50 JST","12033182173","注文","249-4878745-3470269","QTE27001","森永製菓 おいしい青汁 125ml 24本 国産 野菜 果実 青汁 飲料 機能性表示食品 （青汁, 24）","1","amazon.jp","Amazon","","広島県","737-014","","6,111","489","0","0","0","0","-66","0","0","0","-718","-514","0","0","5,302"
"2025/06/01 14:20:59 JST","12033182173","注文","503-4035615-4768636","QTE06001","森永製菓 おいしいコラーゲンドリンク 125ml 24本 ピーチ味 モリコラ 機能性表示食品 コラーゲンペプチド コラー","1","amazon.jp","Amazon","","福岡県","814-001","","6,111","489","0","0","0","0","-66","0","0","0","-718","-514","0","0","5,302"
"2025/06/01 14:27:37 JST","12033182173","注文","250-2457334-5871804","QTE06001","森永製菓 おいしいコラーゲンドリンク 125ml 24本 ピーチ味 モリコラ 機能性表示食品 コラーゲンペプチド コラー","1","amazon.jp","Amazon","","京都府","620-003","","6,111","489","0","0","0","0","-66","0","0","0","-718","-514","0","0","5,302"
"2025/06/01 14:51:11 JST","12033182173","注文","503-1667374-2755033","QTE06001","森永製菓 おいしいコラーゲンドリンク 125ml 24本 ピーチ味 モリコラ 機能性表示食品 コラーゲンペプチド コラー","1","amazon.jp","Amazon","","鳥取県","683-030","","6,111","489","0","0","0","0","-66","0","0","0","-718","-514","0","0","5,302"
"2025/06/01 15:01:20 JST","12033182173","注文","503-9001251-6321444","QTE06004","森永製菓 おいしいコラーゲンドリンク 125ml 12本 ピーチ味 モリコラ 機能性表示食品 コラーゲンペプチド コラー","1","amazon.jp","Amazon","","宮城県","985-080","","3,463","277","0","0","0","0","-37","0","0","0","-407","-465","0","0","2,831"
"2025/06/01 15:01:20 JST","12033182173","注文","503-9001251-6321444","QTE17002","森永製菓 おいしいコラーゲンドリンク 125ml 12本 レモン味 モリコラ 機能性表示食品 コラーゲンペプチド コラー","1","amazon.jp","Amazon","","宮城県","985-080","","3,463","277","0","0","0","0","-37","0","0","0","-407","-465","0","0","2,831"
"2025/06/01 15:16:19 JST","12033182173","注文","250-7394473-0330269","QTE17001","森永製菓 おいしいコラーゲンドリンク 125ml 24本 レモン味 モリコラ 機能性表示食品 コラーゲンペプチド コラー","1","amazon.jp","Amazon","","兵庫県","673-055","","6,111","489","0","0","0","0","-66","0","0","0","-718","-514","0","0","5,302"
"2025/06/01 16:08:23 JST","12033182173","注文","503-7003390-1824652","QTE27001","森永製菓 おいしい青汁 125ml 24本 国産 野菜 果実 青汁 飲料 機能性表示食品 （青汁, 24）","1","amazon.jp","Amazon","","広島県","739-262","","6,111","489","0","0","0","0","-66","0","0","0","-718","-514","0","0","5,302"
"2025/06/01 16:29:35 JST","12033182173","注文","503-9370963-8945412","QTE06001","森永製菓 おいしいコラーゲンドリンク 125ml 24本 ピーチ味 モリコラ 機能性表示食品 コラーゲンペプチド コラー","1","amazon.jp","Amazon","","秋田県","010-087","","6,111","489","418","42","0","0","-66","-418","-42","0","-718","-514","0","0","5,302"
"2025/06/01 17:24:07 JST","12033182173","注文","503-3849437-5246260","QTE27001","森永製菓 おいしい青汁 125ml 24本 国産 野菜 果実 青汁 飲料 機能性表示食品 （青汁, 24）","1","amazon.jp","Amazon","","愛知県","468-006","","6,111","489","0","0","0","0","-66","0","0","0","-1,437","-514","0","0","4,583"
"2025/06/01 17:24:07 JST","12033182173","注文","503-3849437-5246260","QTE27001","森永製菓 おいしい青汁 125ml 24本 国産 野菜 果実 青汁 飲料 機能性表示食品 （青汁, 24）","1","amazon.jp","Amazon","","愛知県","468-006","","6,111","489","0","0","0","0","-66","0","0","0","0","-514","0","0","6,020"
"2025/06/01 21:26:53 JST","12033182173","注文","503-9734456-5195807","QTE06001","森永製菓 おいしいコラーゲンドリンク 125ml 24本 ピーチ味 モリコラ 機能性表示食品 コラーゲンペプチド コラー","1","amazon.jp","Amazon","","東京都","165-003","","6,111","489","0","0","0","0","-66","0","0","0","-718","-514","0","0","5,302"
"2025/06/01 22:19:14 JST","12033182173","注文","249-9655545-5959804","QTE27001","森永製菓 おいしい青汁 125ml 24本 国産 野菜 果実 青汁 飲料 機能性表示食品 （青汁, 24）","1","amazon.jp","Amazon","","兵庫県","651-130","","6,111","489","0","0","0","0","-66","0","0","0","-718","-514","0","0","5,302"
